"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.548891208E0,-5.845319876E-3,7.243252094E-3,9.653735501E-1,9.654184189E-1
2.558877208E0,5.735179803E-3,-8.692415971E-3,1.043960713E0,1.044012654E0
2.568864208E0,-1.368793441E-2,1.386430562E-2,1.025998651E0,1.026183615E0
2.578850208E0,-9.956508621E-3,2.192838346E-2,1.064468068E0,1.064740463E0
2.588836208E0,-6.114584156E-3,5.597790792E-3,1.082728922E0,1.082760658E0
2.598823208E0,-2.475041418E-2,2.506067750E-2,1.035128494E0,1.035727580E0
2.608809208E0,-2.873196148E-2,4.092064239E-3,1.054288650E0,1.054688024E0
2.618796208E0,-7.715990343E-3,2.225253847E-3,1.041715382E0,1.041746335E0
2.628782208E0,-2.259139833E-2,6.387041565E-3,1.023153981E0,1.023423292E0
2.638768208E0,-8.041449564E-3,1.237673285E-2,1.017016159E0,1.017123255E0
2.648755208E0,3.302333811E-3,3.967034323E-3,1.058030868E0,1.058043459E0
2.658741208E0,-4.199237307E-3,2.606514235E-2,1.028243397E0,1.028582281E0
2.668728208E0,-8.191885175E-3,1.400350133E-2,1.035278767E0,1.035405877E0
2.678714208E0,-5.457000802E-3,7.426480078E-3,1.040668146E0,1.040708951E0
2.688700208E0,-8.420723726E-3,6.522345222E-3,1.068061182E0,1.068114291E0
2.698687208E0,-4.071786278E-3,5.597585225E-3,1.035428456E0,1.035451592E0
2.708673208E0,6.908218057E-3,-7.093462874E-3,1.017465225E0,1.017513403E0
2.718659208E0,-3.074390616E-3,6.290375213E-3,1.085123942E0,1.085146529E0
2.728646208E0,7.727383277E-3,-7.146074111E-4,1.053241414E0,1.053270003E0
2.738632208E0,-1.294594102E-2,1.122210419E-2,1.019711140E0,1.019855060E0
2.748619208E0,-1.169690724E-2,1.118972523E-2,1.019411763E0,1.019540274E0
2.758605208E0,-1.126653161E-2,6.230884362E-3,1.013575072E0,1.013656838E0
2.768591208E0,-2.018577615E-2,6.408721944E-3,9.953130484E-1,9.955383476E-1
2.778578208E0,-2.614774341E-2,1.909421976E-3,9.628300112E-1,9.631868879E-1
2.788564208E0,-3.082334150E-2,6.717116889E-3,9.704641360E-1,9.709767440E-1
2.798551208E0,-1.606334522E-2,1.841286382E-2,9.888758487E-1,9.891776932E-1
2.808537208E0,-2.075833276E-2,1.061883142E-2,9.685175979E-1,9.687982274E-1
2.818523208E0,-2.192646941E-2,1.312423998E-2,9.507052249E-1,9.510486004E-1
2.828510208E0,-1.524588848E-2,1.445883955E-2,9.328934366E-1,9.331300333E-1
2.838496208E0,-1.763986191E-2,-1.422438904E-2,9.677709085E-1,9.680361715E-1
2.848482208E0,-1.697806445E-2,4.169768253E-3,9.405263919E-1,9.406888622E-1
2.858469208E0,-1.265472684E-2,8.656821046E-3,9.252587271E-1,9.253857545E-1
2.868455208E0,3.189085121E-3,1.434209623E-2,9.448673648E-1,9.449815887E-1
2.878442208E0,-7.309567742E-4,1.194644630E-2,9.285518789E-1,9.286290130E-1
2.888428208E0,9.491392309E-3,1.850850234E-2,8.849912918E-1,8.852356961E-1
2.898414208E0,8.170218500E-3,3.785336665E-3,8.962167764E-1,8.962620105E-1
2.908401208E0,1.031495208E-2,-4.251720635E-3,8.870851797E-1,8.871553367E-1
2.918387208E0,7.059804839E-3,-5.123133925E-3,8.414295352E-1,8.414747471E-1
2.928374208E0,3.390928265E-5,-7.258185335E-3,8.342456460E-1,8.342772203E-1
